Column_1,Column_2,Column_3,Column_4
80.71,63.68,36.22,43.36
71.92,12.57,34.41,40.56
113.13,12.52,54.08,47.66
31.37,64.63,12.86,32.01
74.21,20.6,35.65,31.78
69.53,91.73,32.33,35.44
42.03,19.04,12.7,48.4
105.42,40.87,49.24,27.26
39.79,70.61,13.95,19.81
106.73,30.38,52.44,50.91
103.45,57.72,50.18,43.93
33.85,92.26,9.08,30.54
77.59,31.42,34.87,43.38
76.85,76.85,32.44,82.59
105.45,64.28,53.49,43.84
66.56,38.09,31.41,25.32
72.21,30.27,32.75,26.18
103.54,15.01,52.57,41.48
96.98,81.04,49.38,36.37
67.12,17.38,30.55,26.29
39.93,9.63,12.13,58.81
43.01,50.77,14.29,27.37
38.74,26.39,14.51,39.1
110.09,92.24,50.29,33.33
113.04,35.67,53.83,36.74
71.37,20.94,30.62,33.03
99.85,90.51,48.16,43.02
25.76,78.62,11.14,11.34
107.98,84.89,55.31,34.45
51.59,61.91,15.04,37.31
36.83,8.09,11.97,16.5
82.52,50.24,32.51,33.2
60.23,53.84,29.5,43.56
73.72,92.83,33.32,12.36
111.1,46.24,54.76,29.31
70.13,64.19,33.7,41.75
104.37,9.09,52.62,45.62
72.66,89.25,31.6,21.11
97.09,72.71,46.41,48.73
27.05,79.59,8.75,19.42
66.72,67.18,28.03,40.49
37.57,19.51,11.06,39.86
84.01,26.77,38.11,41.46
65.91,70.34,27.54,18.79
41.43,15.76,11.84,41.19
78.82,64.42,35.94,42.44
70.61,24.42,31.36,27.21
73.21,16.44,29.68,48.45
48.65,13.79,14.08,22.71
71.4,8.67,28.23,28.08
102.94,60.81,52.93,33.45
73.63,85.28,30.78,39.87
33.81,21.36,10.97,35.35
76.17,39.66,33.18,31.25
38.29,34.78,12.73,41.16
78.36,78.55,33.28,21.88
65.42,57.05,28.84,32.25
105.82,6.3,53.8,35.34
42.32,25.59,15.25,24.12
74.81,53.66,31.13,28.08
41.36,85.33,10.83,34.95
24.33,75.67,7.29,28.36
33.42,59.68,10.8,30.11
106.74,60.05,54.95,26.0
102.79,40.03,52.05,39.49
46.95,55.51,13.75,29.38
97.45,77.62,47.87,41.5
61.46,26.35,28.33,48.82
90.68,78.15,45.66,24.09
22.62,7.29,6.24,37.05
35.16,70.88,13.09,27.92
96.37,83.17,47.47,44.3
76.75,76.62,33.77,33.04
97.17,47.18,49.99,46.37
72.72,13.75,35.94,38.28
102.44,78.97,50.61,37.06
37.13,85.65,12.39,20.91
101.31,9.08,53.97,61.18
101.27,31.39,47.55,66.75
99.97,67.71,48.93,52.92
63.01,44.51,29.15,45.43
42.79,92.46,15.09,7.26
35.85,24.99,12.76,25.35
100.81,60.64,51.24,36.17
99.44,67.62,51.22,68.76
31.31,31.29,9.77,32.19
66.97,67.73,32.0,42.93
98.36,39.75,50.21,45.95
39.8,87.97,13.94,28.49
105.67,13.81,55.62,5.57
92.08,10.18,49.96,31.72
33.06,53.84,10.06,32.41
41.74,34.27,11.1,38.63
33.44,51.69,11.65,33.92
32.19,26.56,11.43,28.58
73.46,6.49,33.45,18.1
97.29,91.6,51.56,61.44
32.2,52.23,9.97,7.79
37.67,5.5,10.51,36.02
98.41,72.91,48.68,57.7
